Country,Date,Confirmed,Death,Recovered,NewConfirmed
China,2020/1/1,27,0,0,0
China,2020/1/2,27,0,0,0
China,2020/1/3,44,0,0,17
China,2020/1/4,44,0,0,0
China,2020/1/5,59,0,0,15
China,2020/1/6,59,0,0,0
China,2020/1/7,59,0,0,0
China,2020/1/8,59,0,0,0
China,2020/1/9,59,0,0,0
China,2020/1/10,59,0,0,0
China,2020/1/11,59,1,0,0
China,2020/1/12,59,1,0,0
China,2020/1/13,59,1,0,0
China,2020/1/14,59,1,0,0
China,2020/1/15,59,2,0,0
China,2020/1/16,59,2,0,0
China,2020/1/17,63,2,0,4
China,2020/1/18,80,2,0,17
China,2020/1/19,216,3,0,136
China,2020/1/20,235,3,0,19
China,2020/1/21,386,6,0,151
China,2020/1/22,548,17,28,162
China,2020/1/23,643,18,30,95
China,2020/1/24,920,26,36,277
China,2020/1/25,1406,42,39,486
China,2020/1/26,2075,56,49,669
China,2020/1/27,2877,82,58,802
China,2020/1/28,5509,131,101,2632
China,2020/1/29,6087,133,120,578
China,2020/1/30,8141,171,135,2054
China,2020/1/31,9802,213,214,1661
China,2020/2/1,11891,259,275,2089
China,2020/2/2,16630,361,463,4739
China,2020/2/3,19716,425,614,3086
China,2020/2/4,23707,491,843,3991
China,2020/2/5,27440,563,1115,3733
China,2020/2/6,30587,633,1477,3147
China,2020/2/7,34110,718,1999,3523
China,2020/2/8,36814,805,2596,2704
China,2020/2/9,39829,905,3219,3015
China,2020/2/10,42354,1012,3918,2525
China,2020/2/11,44386,1112,4636,2032
China,2020/2/12,44759,1117,5082,373
China,2020/2/13,59895,1369,6217,15136
China,2020/2/14,66358,1521,7977,6463
China,2020/2/15,68413,1663,9298,2055
China,2020/2/16,70513,1766,10755,2100
China,2020/2/17,72434,1864,12462,1921
China,2020/2/18,74211,2003,14206,1777
China,2020/2/19,74619,2116,15962,408
China,2020/2/20,75077,2238,18014,458
China,2020/2/21,75550,2238,18704,473
China,2020/2/22,77001,2443,22699,1451
China,2020/2/23,77022,2445,23187,21
China,2020/2/24,77241,2595,25015,219
China,2020/2/25,77754,2665,27676,513
China,2020/2/26,78166,2717,30084,412
China,2020/2/27,78600,2746,32930,434
China,2020/2/28,78928,2790,36329,328
China,2020/2/29,79356,2837,39320,428
China,2020/3/1,79932,2872,42162,576
China,2020/3/2,80136,2914,44854,204
China,2020/3/3,80261,2947,47450,125
China,2020/3/4,80386,2983,50001,125
China,2020/3/5,80537,3015,52292,151
China,2020/3/6,80690,3044,53944,153
China,2020/3/7,80770,3072,55539,80
China,2020/3/8,80823,3100,57388,53
China,2020/3/9,80860,3123,58804,37
China,2020/3/10,80887,3139,60181,27
China,2020/3/11,80921,3161,61644,34
China,2020/3/12,80932,3172,62901,11
China,2020/3/13,80945,3180,64196,13
China,2020/3/14,80977,3193,65660,32
China,2020/3/15,81003,3203,67017,26
China,2020/3/16,81033,3217,67910,30
China,2020/3/17,81058,3230,68798,25
China,2020/3/18,81102,3241,69755,44
China,2020/3/19,81156,3249,70535,54
